file_name,frames_processed,detected_frames,detection_rate,avg_visibility,min_visibility,low_quality_frame_rate,fps
gBR_sBM_c01_d04_mBR0_ch01.mp4,719,719,1.0,0.9566,0.4221,0.0,59.94
gHO_sBM_c01_d19_mHO0_ch01.mp4,523,523,1.0,0.9391,0.2627,0.0,59.94
gJB_sBM_c01_d07_mJB0_ch01.mp4,719,718,0.999,0.8389,0.1815,0.0,59.94
gJS_sBM_c01_d01_mJS0_ch01.mp4,719,719,1.0,0.9827,0.8309,0.0,59.94
gKR_sBM_c01_d28_mKR0_ch01.mp4,719,719,1.0,0.959,0.2687,0.0,59.94
gLH_sBM_c01_d16_mLH0_ch01.mp4,719,719,1.0,0.9439,0.3985,0.0,59.94
gLO_sBM_c01_d13_mLO0_ch01.mp4,719,719,1.0,0.9843,0.7203,0.0,59.94
gMH_sBM_c01_d22_mMH0_ch01.mp4,719,719,1.0,0.9672,0.5098,0.0,59.94
gPO_sBM_c01_d10_mPO0_ch01.mp4,719,719,1.0,0.982,0.7176,0.0,59.94
gWA_sBM_c01_d25_mWA0_ch01.mp4,719,719,1.0,0.9099,0.076,0.0,59.94
